iter	Passed	Remaining
0	156	155926
1	157	78786
2	159	53031
3	161	40142
4	163	32480
5	165	27395
6	167	23721
7	168	20949
8	170	18782
9	172	17072
10	174	15653
11	175	14482
12	178	13525
13	180	12700
14	182	11957
15	183	11298
16	185	10706
17	186	10192
18	188	9726
19	190	9318
20	192	8952
21	193	8623
22	195	8323
23	197	8038
24	199	7776
25	201	7533
26	202	7308
27	204	7106
28	206	6920
29	208	6748
30	211	6595
31	213	6450
32	215	6311
33	217	6173
34	219	6063
35	222	5956
36	224	5846
37	226	5743
38	228	5638
39	230	5538
40	232	5431
41	233	5332
42	235	5250
43	238	5188
44	240	5111
45	242	5030
46	244	4957
47	246	4891
48	248	4825
49	250	4767
50	252	4706
51	254	4643
52	256	4585
53	258	4532
54	260	4477
55	262	4419
56	265	4389
57	267	4351
58	269	4304
59	271	4258
60	273	4212
61	275	4165
62	276	4117
63	279	4081
64	281	4051
65	283	4010
66	285	3970
67	286	3926
68	287	3882
69	288	3839
70	290	3801
71	292	3769
72	294	3736
73	296	3709
74	297	3675
75	299	3643
76	301	3608
77	302	3578
78	303	3543
79	305	3511
80	307	3484
81	308	3456
82	309	3422
83	311	3392
84	312	3366
85	314	3339
86	315	3311
87	317	3288
88	318	3263
89	320	3237
90	321	3215
91	323	3193
92	325	3173
93	327	3153
94	328	3132
95	330	3111
96	331	3088
97	333	3066
98	334	3043
99	335	3020
100	337	3001
101	338	2983
102	340	2968
103	342	2949
104	343	2931
105	345	2912
106	346	2895
107	348	2876
108	349	2859
109	351	2846
110	353	2831
111	355	2817
112	357	2803
113	358	2788
114	360	2771
115	361	2756
116	362	2739
117	364	2722
118	366	2710
119	368	2703
120	370	2691
121	371	2675
122	373	2665
123	375	2654
124	377	2642
125	379	2629
126	380	2615
127	382	2607
128	384	2596
129	386	2586
130	388	2575
131	390	2564
132	391	2552
133	393	2541
134	394	2530
135	396	2520
136	398	2510
137	400	2500
138	401	2488
139	403	2477
140	404	2466
141	405	2453
142	407	2443
143	409	2433
144	412	2429
145	414	2423
146	415	2412
147	416	2400
148	418	2390
149	420	2380
150	421	2369
151	422	2359
152	424	2348
153	426	2340
154	427	2332
155	429	2324
156	431	2314
157	432	2306
158	434	2297
159	435	2288
160	436	2277
161	438	2267
162	439	2259
163	441	2252
164	443	2243
165	444	2235
166	446	2226
167	448	2218
168	449	2210
169	451	2203
170	452	2195
171	454	2188
172	456	2182
173	458	2175
174	459	2167
175	461	2160
176	463	2153
177	464	2146
178	466	2139
179	467	2131
180	469	2123
181	471	2120
182	473	2112
183	474	2105
184	476	2098
185	477	2091
186	479	2084
187	480	2077
188	482	2071
189	484	2064
190	486	2061
191	488	2057
192	490	2050
193	492	2044
194	493	2037
195	494	2030
196	496	2024
197	498	2018
198	500	2013
199	501	2007
200	503	2001
201	505	1995
202	506	1988
203	507	1981
204	509	1975
205	511	1970
206	512	1964
207	515	1961
208	517	1958
209	518	1951
210	520	1946
211	522	1941
212	523	1935
213	525	1929
214	526	1923
215	528	1918
216	530	1913
217	532	1908
218	533	1901
219	534	1896
220	536	1890
221	537	1885
222	539	1879
223	540	1874
224	542	1868
225	544	1863
226	546	1859
227	548	1855
228	549	1850
229	551	1846
230	552	1840
231	554	1834
232	555	1829
233	557	1823
234	559	1820
235	561	1816
236	562	1812
237	564	1806
238	565	1801
239	567	1796
240	568	1791
241	570	1786
242	571	1780
243	573	1777
244	575	1774
245	577	1770
246	579	1766
247	581	1762
248	582	1757
249	584	1752
250	585	1748
251	587	1742
252	588	1738
253	590	1735
254	592	1730
255	593	1725
256	595	1720
257	596	1715
258	598	1711
259	599	1706
260	600	1701
